  #Energy        TDOS
-8.644836        0.000000
-8.603836        0.000000
-8.561836        0.000000
-8.520836        0.000000
-8.478836        0.000000
-8.437836        0.000000
-8.395836        0.000000
-8.353836        0.000000
-8.312836        0.000000
-8.270836        0.000000
-8.229836        0.000000
-8.187836        0.000000
-8.146836        0.000000
-8.104836        0.000000
-8.063836        0.000000
-8.021836        0.000000
-7.979836        0.000000
-7.938836        0.000000
-7.896836        0.000000
-7.855836        0.000000
-7.813836        0.000000
-7.772836        0.016750
-7.730836        1.372000
-7.688836        1.753000
-7.647836        2.133000
-7.605836        2.513000
-7.564836        2.891000
-7.522836        3.269000
-7.481836        3.647000
-7.439836        4.023000
-7.398836        4.399000
-7.356836        4.774000
-7.314836        5.149000
-7.273836        5.585000
-7.231836        5.914000
-7.190836        6.046000
-7.148836        5.981000
-7.107836        5.719000
-7.065836        5.260000
-7.023836        1.943000
-6.982836        1.962000
-6.940836        1.979000
-6.899836        1.995000
-6.857836        2.010000
-6.816836        2.023000
-6.774836        2.035000
-6.733836        2.045000
-6.691836        2.055000
-6.649836        2.062000
-6.608836        2.069000
-6.566836        2.074000
-6.525836        2.078000
-6.483836        2.081000
-6.442836        2.082000
-6.400836        2.082000
-6.358836        2.080000
-6.317836        2.078000
-6.275836        2.074000
-6.234836        2.068000
-6.192836        2.061000
-6.151836        2.886000
-6.109836        2.977000
-6.068836        3.069000
-6.026836        3.164000
-5.984836        3.260000
-5.943836        2.532000
-5.901836        2.636000
-5.860836        2.738000
-5.818836        2.840000
-5.777836        2.941000
-5.735836        3.040000
-5.693836        3.139000
-5.652836        3.236000
-5.610836        3.332000
-5.569836        2.118000
-5.527836        2.045000
-5.486836        1.967000
-5.444836        1.882000
-5.402836        1.792000
-5.361836        1.696000
-5.319836        1.594000
-5.278836        1.486000
-5.236836        1.372000
-5.195836        1.252000
-5.153836        1.126000
-5.112836        0.994500
-5.070836        0.902900
-5.028836        0.866200
-4.987836        0.828000
-4.945836        0.788400
-4.904836        0.747400
-4.862836        0.704900
-4.821836        0.660900
-4.779836        0.615500
-4.737836        0.568700
-4.696836        0.520300
-4.654836        0.470600
-4.613836        0.419400
-4.571836        0.366700
-4.530836        0.312600
