  #Energy        TDOS
-8.644836        7.780339
-8.603836        7.780339
-8.561836        7.780339
-8.520836        7.780339
-8.478836        7.780339
-8.437836        7.780339
-8.395836        7.780339
-8.353836        7.780339
-8.312836        7.780339
-8.270836        7.780339
-8.229836        7.780339
-8.187836        7.780339
-8.146836        7.780339
-8.104836        7.780339
-8.063836        7.780339
-8.021836        7.780339
-7.979836        7.780339
-7.938836        7.780339
-7.896836        7.780339
-7.855836        7.780339
-7.813836        7.780339
-7.772836        7.780683
-7.730836        7.809847
-7.688836        7.875472
-7.647836        7.955135
-7.605836        8.052701
-7.564836        8.163483
-7.522836        8.292843
-7.481836        8.434621
-7.439836        8.595691
-7.398836        8.768342
-7.356836        8.960975
-7.314836        9.169358
-7.273836        9.389405
-7.231836        9.630884
-7.190836        9.876064
-7.148836        10.128631
-7.107836        10.368481
-7.065836        10.599040
-7.023836        10.750303
-6.982836        10.830355
-6.940836        10.913116
-6.899836        10.994583
-6.857836        11.078688
-6.816836        11.161365
-6.774836        11.246583
-6.733836        11.330223
-6.691836        11.416323
-6.649836        11.502780
-6.608836        11.587465
-6.566836        11.674468
-6.525836        11.759584
-6.483836        11.846923
-6.442836        11.932265
-6.400836        12.019709
-6.358836        12.107111
-6.317836        12.192350
-6.275836        12.279542
-6.234836        12.364453
-6.192836        12.451162
-6.151836        12.552575
-6.109836        12.675698
-6.068836        12.799641
-6.026836        12.930534
-5.984836        13.065438
-5.943836        13.184174
-5.901836        13.292702
-5.860836        13.402869
-5.818836        13.520007
-5.777836        13.638518
-5.735836        13.764119
-5.693836        13.893878
-5.652836        14.024565
-5.610836        14.162493
-5.569836        14.274218
-5.527836        14.361641
-5.486836        14.443887
-5.444836        14.524716
-5.402836        14.601870
-5.361836        14.673374
-5.319836        14.742464
-5.278836        14.805604
-5.236836        14.865622
-5.195836        14.919414
-5.153836        14.969352
-5.112836        15.012822
-5.070836        15.052668
-5.028836        15.089819
-4.987836        15.124550
-4.945836        15.158494
-4.904836        15.189978
-4.862836        15.220476
-4.821836        15.248475
-4.779836        15.275280
-4.737836        15.300148
-4.696836        15.322472
-4.654836        15.343281
-4.613836        15.361526
-4.571836        15.378034
-4.530836        15.391960
