  #Energy        TDOS
1.086377        31.985098
1.114377        31.986389
1.143377        31.988100
1.171377        31.990021
1.200377        31.992301
1.229377        31.994901
1.257377        31.997747
1.286377        32.001070
1.315377        32.004798
1.343377        32.008816
1.372377        32.013437
1.400377        32.018371
1.429377        32.024000
1.458377        32.030648
1.486377        32.038474
1.515377        32.047822
1.544377        32.058079
1.572377        32.068537
1.601377        32.079610
1.630377        32.090805
1.658377        32.101777
1.687377        32.113225
1.715377        32.124290
1.744377        32.135824
1.773377        32.147528
1.801377        32.159089
1.830377        32.171430
1.859377        32.184213
1.887377        32.197009
1.916377        32.210732
1.944377        32.224435
1.973377        32.239098
2.002377        32.254230
2.030377        32.269295
2.059377        32.285370
2.088377        32.301916
2.116377        32.318325
2.145377        32.335725
2.173377        32.352903
2.202377        32.371102
2.231377        32.389725
2.259377        32.408130
2.288377        32.427649
2.317377        32.447639
2.345377        32.467408
2.374377        32.488375
2.403377        32.509838
2.431377        32.531042
2.460377        32.553504
2.488377        32.575677
2.517377        32.599120
2.546377        32.623000
2.574377        32.646478
2.603377        32.671254
2.632377        32.696511
2.660377        32.721423
2.689377        32.747914
2.717377        32.774255
2.746377        32.802342
2.775377        32.831161
2.803377        32.859511
2.832377        32.889323
2.861377        32.919584
2.889377        32.949222
2.918377        32.980354
2.947377        33.011906
2.975377        33.042776
3.004377        33.075169
3.032377        33.106851
3.061377        33.140099
3.090377        33.173783
3.118377        33.206641
3.147377        33.240933
3.176377        33.275545
3.204377        33.309397
3.233377        33.345009
3.261377        33.379995
3.290377        33.416912
3.319377        33.454525
3.347377        33.491513
3.376377        33.530532
3.405377        33.570277
3.433377        33.609351
3.462377        33.650545
3.490377        33.691019
3.519377        33.733910
3.548377        33.778121
3.576377        33.822165
3.605377        33.869188
3.634377        33.917691
3.662377        33.965879
3.691377        34.017122
3.720377        34.069844
3.748377        34.122330
3.777377        34.179039
3.805377        34.237279
3.834377        34.301862
3.863377        34.370578
3.891377        34.439976
3.920377        34.513056
3.949377        34.585744
3.977377        34.655002
4.006377        34.725603
4.034377        34.792845
4.063377        34.862010
4.092377        34.931262
4.120377        34.998644
4.149377        35.069360
4.178377        35.141454
4.206377        35.212616
4.235377        35.287987
4.264377        35.364982
4.292377        35.440806
4.321377        35.521528
4.349377        35.602028
4.378377        35.687317
4.407377        35.773490
4.435377        35.857210
4.464377        35.944892
4.493377        36.033835
4.521377        36.120943
4.550377        36.212452
4.578377        36.302080
4.607377        36.396620
4.636377        36.494046
4.664377        36.591948
4.693377        36.703322
4.722377        36.822614
4.750377        36.937190
4.779377        37.055031
4.807377        37.168291
4.836377        37.284030
4.865377        37.397130
4.893377        37.504594
4.922377        37.615635
4.951377        37.727198
4.979377        37.836034
5.008377        37.950222
5.037377        38.066497
