  #Energy        TDOS
1.086377        0.038110
1.114377        0.054160
1.143377        0.063820
1.171377        0.073370
1.200377        0.083890
1.229377        0.095390
1.257377        0.107900
1.286377        0.121300
1.315377        0.135800
1.343377        0.151200
1.372377        0.167500
1.400377        0.184900
1.429377        0.203300
1.458377        0.255200
1.486377        0.303800
1.515377        0.340900
1.544377        0.366500
1.572377        0.380500
1.601377        0.383100
1.630377        0.389000
1.658377        0.394700
1.687377        0.394800
1.715377        0.395600
1.744377        0.399800
1.773377        0.407400
1.801377        0.418400
1.830377        0.432700
1.859377        0.448900
1.887377        0.465100
1.916377        0.481300
1.944377        0.497500
1.973377        0.513700
2.002377        0.529900
2.030377        0.546200
2.059377        0.562400
2.088377        0.578700
2.116377        0.593400
2.145377        0.606600
2.173377        0.620400
2.202377        0.634700
2.231377        0.649600
2.259377        0.665100
2.288377        0.681000
2.317377        0.697600
2.345377        0.714500
2.374377        0.731500
2.403377        0.748700
2.431377        0.765900
2.460377        0.783200
2.488377        0.800600
2.517377        0.816100
2.546377        0.830800
2.574377        0.846200
2.603377        0.862500
2.632377        0.879400
2.660377        0.900000
2.689377        0.927000
2.717377        0.954500
2.746377        0.982500
2.775377        1.005000
2.803377        1.020000
2.832377        1.036000
2.861377        1.051000
2.889377        1.066000
2.918377        1.081000
2.947377        1.095000
2.975377        1.110000
3.004377        1.124000
3.032377        1.139000
3.061377        1.154000
3.090377        1.169000
3.118377        1.178000
3.147377        1.187000
3.176377        1.200000
3.204377        1.218000
3.233377        1.238000
3.261377        1.261000
3.290377        1.285000
3.319377        1.309000
3.347377        1.333000
3.376377        1.358000
3.405377        1.383000
3.433377        1.408000
3.462377        1.433000
3.490377        1.458000
3.519377        1.500000
3.548377        1.549000
3.576377        1.597000
3.605377        1.646000
3.634377        1.699000
3.662377        1.743000
3.691377        1.791000
3.720377        1.845000
3.748377        1.904000
3.777377        2.007000
3.805377        2.153000
3.834377        2.301000
3.863377        2.438000
3.891377        2.519000
3.920377        2.521000
3.949377        2.492000
3.977377        2.455000
4.006377        2.414000
4.034377        2.389000
4.063377        2.381000
4.092377        2.395000
4.120377        2.418000
4.149377        2.459000
4.178377        2.513000
4.206377        2.570000
4.235377        2.628000
4.264377        2.682000
4.292377        2.734000
4.321377        2.833000
4.349377        2.917000
4.378377        2.965000
4.407377        2.978000
4.435377        3.002000
4.464377        3.045000
4.493377        3.089000
4.521377        3.133000
4.550377        3.178000
4.578377        3.224000
4.607377        3.296000
4.636377        3.423000
4.664377        3.570000
